# Produit,Type,Nom,Emballage,Prix Coutent,Renouvellement,Description Acomba,Produit fournisseur,À jour,NoProduits,Actif,Nom Anglais,Emballage Anglais
200,BŒUF,BIFTECK CONTRE FILET // BEEF STRIPLOIN STEAK,340 GR -   12 OZ,11.73 $,108,BIFTECK CONTRE FILET ''NEW YORK'',0033,TRUE,311,TRUE,#Name?,#Name?
201,BŒUF,BIFTECK FAUX FILET // BEEF RIBEYE STEAK,340 GR -   12 OZ,11.73 $,108,BIFTECK ENTER CÔTE  (SPENCER)  FAUX FILET,0037,TRUE,2014,TRUE,#Name?,#Name?
202,BŒUF,BIFTECK SURLONGE //BEEF SIRLOIN STEAK,340 GR - 12 OZ,6.38 $,59,BIFTECK SURLONGE DES./BOSTON,0004,TRUE,2381,TRUE,#Name?,#Name?
203,BŒUF,BIFTECK AU POIVRE  // BEEF PEPER STEAK,227 GR -   8 OZ,4.00 $,37,BIFTECK INT./RONDE SUISSE,0003,TRUE,2018,TRUE,#Name?,#Name?
204,BŒUF,BIFTECK DU ROI INT/ RONDE // FRENCH STEAK INSIDE ROUND,227 GR -   8 OZ,3.75 $,34,BIFTECK DU ROI DÉLICEUX,0006,TRUE,2017,TRUE,#Name?,#Name?
205,BŒUF,BIFTECK SANDWICH SOUS-MARIN // BEEF SUBMARIN STEAK,454 LBS - 1 LBS-PDS,8.00 $,73,BROCHETTE DE BOEUF 3 POIVRES,7101,FALSE,2470,TRUE,#Name?,#Name?
206,BŒUF,BIFTECK DE ALOYAU '// BEEF T-BONE STEAK,340 GR -  12 OZ,9.68 $,89,BIFTECK DE ALOYAU ''T-BONE'',0028,TRUE,2405,TRUE,#Name?,#Name?
207,BŒUF,MINUTE STEAK ATTENDRI // BEEF MINUTE STEAK,2 X 227 GR- 8 OZ,7.50 $,69,BIFTECK EXT./ RONDE ATTENDRI,0001,TRUE,2023,TRUE,#Name?,#Name?
208,BŒUF,BIFTECK DE CÔTE (RIB STEAKS) // BEEF RIB STEAK,340 GR - 12 OZ,9.68 $,89,BIFTECK DE CÔTE (RIB STEAKS) // BEEF RIB STEAK,232,FALSE,2500,TRUE,#Name?,#Name?
209,BŒUF,BIFTECK DE FILET MIGNON // BEEF TENDERLOIN STEAK,2 X 227 GR -   8.OZ,24.50 $,225,BIFTECK DE FILET MIGNON,0840,TRUE,2388,TRUE,#Name?,#Name?
210,BŒUF,BŒUF HACHÉ EXTRA MAIGRE 90% // GROUND BEEF EX-LEAN,454 GR - 1 LBS-PDS,5.10 $,47,BŒUF HACHÉ EXTRA MAIGRE 90%,0079,FALSE,2415,TRUE,#Name?,#Name?
